HomeTeam,AwayTeam,HomeConference,AwayConference,HomeConfPower,AwayConfPower,HomeActualScore,AwayActualScore,HomeMostLikely,AwayMostLikely,HomeMean,AwayMean,HomeWinProbability,AwayWinProbability,HomeWins,HomeLoses,AwayWins,AwayLoses,Date
Kansas,Texas,B12,SEC,0.703,0.857,2,6,4,7,4.37,7.81,28,72,10,1,9,1,20230506
Iowa,Ohio St,B10,B10,0.604,0.604,15,3,6,4,7.21,5.05,70,30,4,6,1,8,20230506
IL Chicago,Belmont,MVC,MVC,0.381,0.381,4,3,6,5,6.32,5.57,59,41,2,10,1,10,20230506
Texas St,Georgia St,SBC,SBC,0.557,0.557,8,2,6,5,6.87,6.21,58,42,7,4,9,2,20230506
Alcorn St,Ark Pine Bluff,SWAC,SWAC,0.231,0.231,2,19,6,9,6.47,9.62,35,65,0,9,0,12,20230506
Troy,Ga Southern,SBC,SBC,0.557,0.557,16,5,7,6,7.33,7.32,53,47,11,1,6,5,20230506
Tarleton St,Grand Canyon,WAC,WAC,0.473,0.473,7,16,5,7,5.18,8.06,32,68,4,8,7,4,20230506
Illinois,Michigan St,B10,B10,0.604,0.604,14,7,6,5,6.96,6.30,58,42,6,4,9,1,20230506
New Mexico St,Seattle,CUSA,WAC,0.619,0.473,6,4,6,7,6.94,7.51,49,51,8,4,2,9,20230506
North Alabama,North Florida,ASUN,ASUN,0.374,0.374,3,9,5,7,5.65,8.36,35,65,3,7,7,5,20230506
UNC Wilmington,Northeastern,CAA,CAA,0.395,0.395,7,2,5,4,5.73,5.84,52,48,7,5,4,4,20230506
WI Milwaukee,Oakland,HL,HL,0.21,0.21,3,5,5,4,5.28,5.11,55,45,1,9,2,10,20230506
Radford,Winthrop,BSo,BSo,0.515,0.515,11,22,5,7,5.54,8.29,35,65,5,5,7,4,20230506
Wake Forest,Boston College,ACC,ACC,0.772,0.772,9,11,6,3,7.58,3.79,81,19,10,3,4,4,20230506
San Diego,BYU,WCC,B12,0.397,0.703,5,1,6,5,7.85,6.25,64,36,2,9,7,4,20230506
West Virginia,Oklahoma,B12,SEC,0.703,0.857,3,6,6,5,6.68,6.07,58,42,11,0,11,0,20230506
Abilene Chr,Utah Tech,WAC,WAC,0.473,0.473,8,6,7,5,8.10,5.85,68,32,7,5,4,8,20230506
UNLV,New Mexico,MWC,MWC,0.449,0.449,7,5,7,6,8.27,7.54,57,43,8,4,8,5,20230506
Utah Valley,SF Austin,WAC,SLC,0.473,0.648,3,1,7,6,8.48,6.78,64,36,4,8,5,7,20230506
Oregon St,Utah,I Ind,B12,0.75,0.703,6,5,7,4,8.28,4.56,78,22,7,3,10,2,20230506
Georgetown,Butler,BE,BE,0.4,0.4,3,5,6,4,7.68,5.10,72,28,3,8,4,6,20230506
UC San Diego,CS Northridge,BWC,BWC,0.556,0.556,1,10,5,4,5.70,6.07,50,50,7,4,2,7,20230506
CS Sacramento,UTRGV,WAC,SLC,0.473,0.648,5,7,6,5,6.49,6.89,50,50,7,5,7,2,20230506
UCLA,California,B10,ACC,0.604,0.772,2,9,5,4,6.25,4.81,65,35,9,3,6,5,20230506
Florida Intl,WKU,CUSA,CUSA,0.619,0.619,2,7,5,6,6.17,7.19,46,54,11,2,10,1,20230506
Kansas St,SE Missouri St,B12,OVC,0.703,0.444,12,5,6,4,7.25,4.56,73,27,6,5,6,5,20230506
Memphis,South Florida,AAC,AAC,0.593,0.593,7,6,5,4,5.96,5.91,54,46,7,4,6,5,20230506
TCU,CS Fullerton,B12,BWC,0.703,0.556,13,4,6,3,7.31,4.06,78,22,7,4,3,8,20230506
ULM,Louisiana,SBC,SBC,0.557,0.557,4,12,4,7,4.16,7.79,25,75,5,5,5,7,20230506
High Point,Charleston So,BSo,BSo,0.515,0.515,7,4,6,5,6.68,6.93,51,49,9,3,8,2,20230506
Navy,Elon,PL,CAA,0.348,0.395,1,3,2,6,2.67,7.05,16,84,3,6,5,6,20230506
Texas A&M,Florida,SEC,SEC,0.857,0.857,15,2,5,6,5.58,6.60,45,55,6,4,11,1,20230506
Ohio,Ball St,MAC,MAC,0.376,0.376,5,3,5,6,6.02,7.49,43,57,3,7,6,5,20230506
Bethune-Cookman,Alabama A&M,SWAC,SWAC,0.231,0.231,6,2,8,3,9.58,4.23,85,15,6,6,2,9,20230506
Cent Arkansas,Austin Peay,ASUN,ASUN,0.374,0.374,16,15,6,5,6.97,6.26,58,42,4,6,8,4,20230506
Tulane,UCF,AAC,B12,0.593,0.703,13,2,6,5,6.64,7.08,50,50,8,3,8,3,20230506
Lipscomb,Kennesaw,ASUN,CUSA,0.374,0.619,8,3,5,4,6.13,5.85,55,45,3,8,5,8,20230506
Jacksonville,Bellarmine,ASUN,ASUN,0.374,0.374,9,4,6,3,7.85,3.95,81,19,4,7,1,9,20230506
McNeese St,Lamar,SLC,SLC,0.648,0.648,4,3,5,4,5.03,4.81,55,44,9,1,9,4,20230506
Miami FL,Presbyterian,ACC,BSo,0.772,0.515,12,1,8,2,9.18,3.13,91,9,9,3,6,6,20230506
Virginia Tech,Bowling Green,ACC,MAC,0.772,0.376,13,2,8,3,9.74,3.92,87,13,8,3,5,5,20230506
Creighton,Xavier,BE,BE,0.4,0.4,1,4,4,5,4.38,5.75,41,59,5,4,7,5,20230506
Houston,Wichita St,B12,AAC,0.703,0.593,7,5,6,5,6.26,6.64,50,50,7,3,3,8,20230506
Nevada,Fresno St,MWC,MWC,0.449,0.449,6,14,6,5,6.53,6.61,53,47,7,5,5,6,20230506
NE Omaha,W Illinois,SL,OVC,0.338,0.444,11,8,6,4,7.37,4.52,74,26,3,8,2,7,20230506
Arizona St,Stanford,B12,ACC,0.703,0.772,11,12,6,7,6.36,8.02,42,58,8,4,10,2,20230506
Long Beach St,CS Bakersfield,BWC,BWC,0.556,0.556,5,7,6,3,6.87,3.55,80,20,5,6,3,9,20230506
Gonzaga,St Mary's CA,WCC,WCC,0.397,0.397,1,7,5,4,5.81,5.24,58,42,2,7,8,4,20230506
Auburn,LSU,SEC,SEC,0.857,0.857,8,6,5,6,5.82,7.56,41,59,11,1,11,1,20230506
Washington St,Washington,MWC,B10,0.449,0.604,2,6,6,5,6.25,6.58,51,49,3,9,4,8,20230506
UC Riverside,UC Santa Barbara,BWC,BWC,0.556,0.556,5,9,3,8,3.76,8.98,18,82,8,5,9,2,20230506
USC,Oregon,B10,B10,0.604,0.604,5,7,5,6,5.67,6.25,48,51,9,2,10,2,20230506
UC Davis,Cal Poly,BWC,BWC,0.556,0.556,1,8,4,6,4.61,6.74,36,64,8,4,5,6,20230506
UNC Asheville,Campbell,BSo,CAA,0.515,0.395,2,10,5,9,5.68,10.36,26,74,6,5,4,7,20230506
Central Conn,Bryant,NEC,AEC,0.13,0.361,6,4,5,4,6.22,6.30,53,47,2,1,3,5,20230506
C Michigan,E Michigan,MAC,MAC,0.376,0.376,24,4,6,4,7.84,5.08,72,28,2,10,4,6,20230506
Citadel,VMI,SC,SC,0.644,0.644,9,4,6,5,6.65,6.38,55,45,7,4,10,1,20230506
Connecticut,Seton Hall,BE,BE,0.4,0.4,3,2,6,4,7.58,4.64,75,25,2,7,4,7,20230506
Dartmouth,Cornell,Ivy,Ivy,0.191,0.191,2,7,5,6,5.85,6.70,47,53,0,6,3,2,20230506
Oklahoma St,ETSU,B12,SC,0.703,0.644,17,7,8,4,8.86,4.30,82,18,6,4,10,2,20230506
Queens NC,E Kentucky,ASUN,ASUN,0.374,0.374,5,16,5,7,5.87,8.64,35,65,2,9,0,11,20230506
St Louis,G Washington,A10,A10,0.488,0.488,9,6,6,5,7.62,6.13,63,37,5,6,6,4,20230506
Monmouth NJ,Hofstra,CAA,CAA,0.395,0.395,1,9,5,7,6.01,8.17,39,61,3,7,3,7,20230506
Lafayette,Holy Cross,PL,PL,0.348,0.348,4,13,6,5,6.67,6.88,52,48,1,9,3,4,20230506
Iona,Rider,MAAC,MAAC,0.321,0.321,11,8,3,8,3.81,9.48,18,82,1,8,4,3,20230506
Liberty,Jacksonville St,CUSA,CUSA,0.619,0.619,13,3,6,5,7.05,5.79,62,37,7,4,10,2,20230506
Marshall,James Madison,SBC,SBC,0.557,0.557,3,7,4,6,5.22,7.19,38,62,5,6,5,6,20230506
Kent,W Michigan,MAC,MAC,0.376,0.376,12,5,7,5,8.15,5.29,73,27,3,6,0,10,20230506
Lehigh,Army,PL,PL,0.348,0.348,6,1,4,6,4.28,7.03,31,68,2,4,2,7,20230506
Lindenwood,TN Martin,OVC,OVC,0.444,0.444,5,7,4,6,5.32,7.25,39,61,6,6,4,6,20230506
Minnesota,Michigan,B10,B10,0.604,0.604,4,2,4,6,4.87,6.73,38,62,4,5,6,4,20230506
Mississippi St,Arkansas,SEC,SEC,0.857,0.857,2,14,5,6,6.11,7.67,42,57,7,4,10,1,20230506
Notre Dame,NC State,ACC,ACC,0.772,0.772,1,6,5,4,5.71,5.84,52,48,8,1,6,5,20230506
N Colorado,N Dakota St,SL,SL,0.338,0.338,3,18,4,8,4.92,9.19,26,74,5,7,1,9,20230506
TAM C. Christi,Northwestern LA,SLC,SLC,0.648,0.648,4,1,5,4,5.70,5.73,53,47,6,6,4,7,20230506
St Thomas MN,Oral Roberts,SL,SL,0.338,0.338,2,11,2,8,2.61,9.38,9,91,5,3,6,4,20230506
Princeton,Brown,Ivy,Ivy,0.191,0.191,6,5,6,5,6.97,5.81,61,38,1,7,0,7,20230506
Santa Clara,San Francisco,WCC,WCC,0.397,0.397,3,2,6,4,7.16,4.84,71,29,6,4,6,6,20230506
Alabama,Vanderbilt,SEC,SEC,0.857,0.857,2,1,5,4,5.59,5.74,52,48,12,0,9,3,20230506
Delaware,Stony Brook,CAA,CAA,0.395,0.395,8,3,7,6,8.07,6.84,61,39,5,6,3,6,20230506
Wagner,Stonehill,NEC,NEC,0.13,0.13,3,7,8,4,8.64,4.52,80,20,3,7,0,7,20230506
UNC Greensboro,Wofford,SC,SC,0.644,0.644,3,13,5,7,5.86,7.94,39,61,5,5,11,1,20230506
Kentucky,South Carolina,SEC,SEC,0.857,0.857,14,7,5,4,5.48,5.26,55,45,9,1,9,3,20230506
Dayton,St Joseph's PA,A10,A10,0.488,0.488,5,7,7,6,7.34,7.46,52,48,6,6,3,7,20230506
Ohio,Ball St,MAC,MAC,0.376,0.376,6,7,5,6,6.02,7.49,43,57,3,7,6,5,20230506
Murray St,Missouri St,MVC,MVC,0.381,0.381,5,8,5,6,5.76,6.52,47,53,7,0,4,6,20230506
Morehead St,E Illinois,OVC,OVC,0.444,0.444,9,6,6,5,6.84,6.65,55,45,6,4,3,6,20230506
Tennessee Tech,SIUE,OVC,OVC,0.444,0.444,9,7,6,5,7.24,6.95,55,45,9,3,2,9,20230506
Alcorn St,Ark Pine Bluff,SWAC,SWAC,0.231,0.231,3,6,6,9,6.47,9.62,35,65,0,9,0,12,20230506
Bethune-Cookman,Alabama A&M,SWAC,SWAC,0.231,0.231,5,4,8,3,9.58,4.23,85,15,6,6,2,9,20230506
Tarleton St,Grand Canyon,WAC,WAC,0.473,0.473,5,8,5,7,5.18,8.06,32,68,4,8,7,4,20230506
Bradley,Indiana St,MVC,MVC,0.381,0.381,3,8,3,6,3.80,6.95,28,72,2,7,5,6,20230507
Fairfield,Canisius,MAAC,MAAC,0.321,0.321,9,10,6,5,7.67,5.92,65,35,5,4,0,6,20230507
SUNY Albany,Binghamton,AEC,AEC,0.361,0.361,5,12,5,7,6.04,8.07,39,61,3,4,3,6,20230507
Cincinnati,East Carolina,B12,AAC,0.703,0.593,5,6,4,6,4.86,7.55,33,67,5,6,5,6,20230507
Dartmouth,Cornell,Ivy,Ivy,0.191,0.191,3,2,5,6,5.85,6.70,47,53,0,6,3,2,20230507
FGCU,Stetson,ASUN,ASUN,0.374,0.374,11,8,7,5,8.22,6.36,65,35,4,8,7,5,20230507
Florida Intl,WKU,CUSA,CUSA,0.619,0.619,1,3,5,6,6.17,7.19,46,54,11,2,10,1,20230507
Fordham,George Mason,A10,A10,0.488,0.488,10,11,4,5,5.10,6.89,40,60,2,9,7,4,20230507
Niagara,Marist,MAAC,MAAC,0.321,0.321,13,7,7,6,7.97,7.73,54,46,1,8,2,8,20230507
MA Lowell,NJIT,AEC,AEC,0.361,0.361,17,8,5,4,5.95,5.46,57,43,3,6,5,5,20230507
Merrimack,Norfolk St,MAAC,NEC,0.321,0.13,6,2,7,4,8.40,5.03,76,24,1,9,0,8,20230507
Princeton,Brown,Ivy,Ivy,0.191,0.191,4,11,6,5,6.97,5.81,61,38,1,7,0,7,20230507
Massachusetts,Rhode Island,A10,A10,0.488,0.488,9,10,6,7,6.38,8.12,41,59,3,3,4,7,20230507
Richmond,St Bonaventure,A10,A10,0.488,0.488,19,4,9,4,9.82,4.73,83,17,8,2,7,3,20230507
St Peter's,Siena,MAAC,MAAC,0.321,0.321,3,15,6,8,7.13,10.05,37,63,3,8,1,8,20230507
Clemson,Louisville,ACC,ACC,0.772,0.772,7,3,5,4,6.34,5.14,63,37,10,1,8,2,20230507
Georgetown,Butler,BE,BE,0.4,0.4,7,20,6,4,7.68,5.10,72,28,3,8,4,6,20230507
MS Valley St,Alabama St,SWAC,SWAC,0.231,0.231,1,14,4,11,4.55,11.60,16,84,1,4,5,7,20230507
UNC Asheville,Campbell,BSo,CAA,0.515,0.395,7,11,5,9,5.68,10.36,26,74,6,5,4,7,20230507
High Point,Charleston So,BSo,BSo,0.515,0.515,7,3,6,5,6.68,6.93,51,49,9,3,8,2,20230507
Coastal Car,Appalachian St,SBC,SBC,0.557,0.557,11,4,8,5,9.81,6.40,72,28,10,2,6,5,20230507
NC A&T,Col Charleston,CAA,CAA,0.395,0.395,3,1,3,6,4.06,7.36,28,72,3,6,7,4,20230507
Sacred Heart,Delaware St,MAAC,NEC,0.321,0.13,7,13,8,5,9.63,5.63,77,23,4,5,1,7,20230507
Navy,Elon,PL,CAA,0.348,0.395,8,5,2,6,2.67,7.05,16,84,3,6,5,6,20230507
MD E Shore,F Dickinson,NEC,NEC,0.13,0.13,5,4,4,6,4.95,6.82,38,61,1,11,0,10,20230507
Jackson St,Florida A&M,SWAC,SWAC,0.231,0.231,10,7,6,7,6.78,7.94,46,54,9,2,4,7,20230507
Charlotte,FL Atlantic,AAC,AAC,0.593,0.593,12,4,6,5,6.84,5.72,61,38,4,6,10,1,20230507
Gardner Webb,SC Upstate,BSo,BSo,0.515,0.515,6,11,5,6,5.60,6.56,46,54,6,7,6,4,20230507
Arkansas St,Old Dominion,SBC,SBC,0.557,0.557,12,4,5,7,5.85,8.31,37,63,3,9,3,7,20230507
PFW,Youngstown St,HL,HL,0.21,0.21,10,14,6,7,7.27,8.85,44,56,1,10,1,10,20230507
Jacksonville,Bellarmine,ASUN,ASUN,0.374,0.374,9,1,6,3,7.85,3.95,81,19,4,7,1,9,20230507
Maryland,Nebraska,B10,B10,0.604,0.604,20,5,7,6,7.67,7.10,57,43,6,5,4,6,20230507
Florida St,Mercer,ACC,SC,0.772,0.644,13,3,7,5,7.98,5.53,70,30,11,0,9,3,20230507
Manhattan,Mt St Mary's,MAAC,MAAC,0.321,0.321,10,15,7,6,8.35,6.89,62,38,4,7,6,5,20230507
UNC Wilmington,Northeastern,CAA,CAA,0.395,0.395,4,2,5,4,5.73,5.84,52,48,7,5,4,4,20230507
N Illinois,Toledo,MAC,MAC,0.376,0.376,12,18,5,7,6.06,8.45,37,63,6,4,4,6,20230507
WI Milwaukee,Oakland,HL,HL,0.21,0.21,3,4,5,4,5.28,5.11,55,45,1,9,2,10,20230507
Wright St,N Kentucky,HL,HL,0.21,0.21,7,3,7,5,8.33,5.61,70,30,3,6,5,5,20230507
Creighton,Xavier,BE,BE,0.4,0.4,1,3,4,5,4.38,5.75,41,59,5,4,7,5,20230507
Connecticut,Seton Hall,BE,BE,0.4,0.4,15,9,6,4,7.58,4.64,75,25,2,7,4,7,20230507
UT Arlington,Cal Baptist,WAC,WAC,0.473,0.473,6,5,4,5,5.76,6.22,50,50,3,5,4,8,20230507
Cent Arkansas,Austin Peay,ASUN,ASUN,0.374,0.374,6,7,6,5,6.97,6.26,58,42,4,6,8,4,20230507
Tulane,UCF,AAC,B12,0.593,0.703,3,10,6,5,6.64,7.08,50,50,8,3,8,3,20230507
Alcorn St,Ark Pine Bluff,SWAC,SWAC,0.231,0.231,5,11,6,9,6.47,9.62,35,65,0,9,0,12,20230507
Lipscomb,Kennesaw,ASUN,CUSA,0.374,0.619,4,3,5,4,6.13,5.85,55,45,3,8,5,8,20230507
Dayton,St Joseph's PA,A10,A10,0.488,0.488,2,15,7,6,7.34,7.46,52,48,6,6,3,7,20230507
Illinois St,Evansville,MVC,MVC,0.381,0.381,7,2,5,6,5.32,6.41,45,55,2,7,3,8,20230507
Texas A&M,Florida,SEC,SEC,0.857,0.857,3,2,5,6,5.58,6.60,45,55,6,4,11,1,20230507
Troy,Ga Southern,SBC,SBC,0.557,0.557,7,9,7,6,7.33,7.32,53,47,11,1,6,5,20230507
Texas St,Georgia St,SBC,SBC,0.557,0.557,7,5,6,5,6.87,6.21,58,42,7,4,9,2,20230507
Tarleton St,Grand Canyon,WAC,WAC,0.473,0.473,2,6,5,7,5.18,8.06,32,68,4,8,7,4,20230507
New Orleans,Houston Chr,SLC,SLC,0.648,0.648,10,6,8,5,9.19,5.90,72,28,6,4,7,3,20230507
Illinois,Michigan St,B10,B10,0.604,0.604,10,3,6,5,6.96,6.30,58,42,6,4,9,1,20230507
McNeese St,Lamar,SLC,SLC,0.648,0.648,9,10,5,4,5.03,4.81,55,44,9,1,9,4,20230507
Auburn,LSU,SEC,SEC,0.857,0.857,12,2,5,6,5.82,7.56,41,59,11,1,11,1,20230507
Louisiana Tech,UAB,CUSA,AAC,0.619,0.593,1,6,6,4,6.44,4.45,70,30,6,5,9,2,20230507
Memphis,South Florida,AAC,AAC,0.593,0.593,8,6,5,4,5.96,5.91,54,46,7,4,6,5,20230507
Dallas Bap,MTSU,CUSA,CUSA,0.619,0.619,15,6,7,4,8.37,4.53,79,21,8,3,6,5,20230507
NE Omaha,W Illinois,SL,OVC,0.338,0.444,3,2,6,4,7.37,4.52,74,26,3,8,2,7,20230507
North Alabama,North Florida,ASUN,ASUN,0.374,0.374,2,5,5,7,5.65,8.36,35,65,3,7,7,5,20230507
Northwestern,Indiana,B10,B10,0.604,0.604,9,11,4,7,5.22,8.80,30,70,5,5,6,6,20230507
Rutgers,Penn St,B10,B10,0.604,0.604,8,2,6,4,7.48,4.77,73,27,4,7,8,1,20230507
Southern Univ,Prairie View,SWAC,SWAC,0.231,0.231,11,3,6,5,6.88,5.60,63,37,6,4,4,8,20230507
UT San Antonio,Rice,AAC,AAC,0.593,0.593,11,6,6,4,7.23,4.92,70,30,11,3,2,8,20230507
Texas Tech,Sam Houston St,B12,CUSA,0.703,0.619,10,8,7,5,8.17,6.24,66,34,2,7,2,9,20230507
Samford,W Carolina,SC,SC,0.644,0.644,5,7,6,5,7.33,5.82,63,37,5,7,5,7,20230507
Southern Miss,South Alabama,SBC,SBC,0.557,0.557,6,1,6,4,7.12,4.76,71,29,9,3,7,5,20230507
Nicholls St,SE Louisiana,SLC,SLC,0.648,0.648,6,5,5,4,5.76,5.25,57,42,5,7,10,2,20230507
Valparaiso,S Illinois,MVC,MVC,0.381,0.381,6,10,5,6,5.79,7.54,41,59,2,6,8,3,20230507
Kansas,Texas,B12,SEC,0.703,0.857,6,7,4,7,4.37,7.81,28,72,10,1,9,1,20230507
TCU,CS Fullerton,B12,BWC,0.703,0.556,6,1,6,3,7.31,4.06,78,22,7,4,3,8,20230507
Iowa,Ohio St,B10,B10,0.604,0.604,2,5,6,4,7.21,5.05,70,30,4,6,1,8,20230507
Abilene Chr,Utah Tech,WAC,WAC,0.473,0.473,4,2,7,5,8.10,5.85,68,32,7,5,4,8,20230507
IL Chicago,Belmont,MVC,MVC,0.381,0.381,10,5,6,5,6.32,5.57,59,41,2,10,1,10,20230507
Utah Valley,SF Austin,WAC,SLC,0.473,0.648,8,3,7,6,8.48,6.78,64,36,4,8,5,7,20230507
Arizona St,Stanford,B12,ACC,0.703,0.772,4,9,6,7,6.36,8.02,42,58,8,4,10,2,20230507
Lehigh,Holy Cross,PL,PL,0.348,0.348,5,4,6,5,6.64,5.40,63,37,2,4,3,4,20230507
CS Sacramento,UTRGV,WAC,SLC,0.473,0.648,6,9,6,5,6.49,6.89,50,50,7,5,7,2,20230507
Arizona,Air Force,B12,MWC,0.703,0.449,11,10,8,5,9.51,6.29,71,29,7,4,4,7,20230507
Lafayette,Army,PL,PL,0.348,0.348,6,21,4,8,4.31,8.60,24,76,1,9,2,7,20230507
New Mexico St,Seattle,CUSA,WAC,0.619,0.473,6,9,6,7,6.94,7.51,49,51,8,4,2,9,20230507
USC,Oregon,B10,B10,0.604,0.604,11,4,5,6,5.67,6.25,48,51,9,2,10,2,20230507
UNLV,New Mexico,MWC,MWC,0.449,0.449,8,3,7,6,8.27,7.54,57,43,8,4,8,5,20230507
Long Beach St,CS Bakersfield,BWC,BWC,0.556,0.556,3,6,6,3,6.87,3.55,80,20,5,6,3,9,20230507
UCLA,California,B10,ACC,0.604,0.772,8,9,5,4,6.25,4.81,65,35,9,3,6,5,20230507
UC Irvine,Hawaii,BWC,BWC,0.556,0.556,6,1,6,4,7.05,4.88,69,30,8,3,9,2,20230507
San Jose St,San Diego St,MWC,MWC,0.449,0.449,7,2,4,3,5.01,5.09,53,47,8,3,4,8,20230507
UC Riverside,UC Santa Barbara,BWC,BWC,0.556,0.556,4,18,3,8,3.76,8.98,18,82,8,5,9,2,20230507
Nevada,Fresno St,MWC,MWC,0.449,0.449,8,14,6,5,6.53,6.61,53,47,7,5,5,6,20230507
Oregon St,Utah,I Ind,B12,0.75,0.703,11,4,7,4,8.28,4.56,78,22,7,3,10,2,20230507
Washington St,Washington,MWC,B10,0.449,0.604,2,8,6,5,6.25,6.58,51,49,3,9,4,8,20230507
C Michigan,E Michigan,MAC,MAC,0.376,0.376,7,5,6,4,7.84,5.08,72,28,2,10,4,6,20230507
Citadel,VMI,SC,SC,0.644,0.644,2,3,6,5,6.65,6.38,55,45,7,4,10,1,20230507
Duke,Longwood,ACC,BSo,0.772,0.515,13,9,8,2,9.00,2.55,93,7,7,5,2,9,20230507
Oklahoma St,ETSU,B12,SC,0.703,0.644,20,7,8,4,8.86,4.30,82,18,6,4,10,2,20230507
Queens NC,E Kentucky,ASUN,ASUN,0.374,0.374,6,11,5,7,5.87,8.64,35,65,2,9,0,11,20230507
St Louis,G Washington,A10,A10,0.488,0.488,9,8,6,5,7.62,6.13,63,37,5,6,6,4,20230507
Monmouth NJ,Hofstra,CAA,CAA,0.395,0.395,2,19,5,7,6.01,8.17,39,61,3,7,3,7,20230507
Lehigh,Holy Cross,PL,PL,0.348,0.348,3,1,6,5,6.64,5.40,63,37,2,4,3,4,20230507
Iona,Rider,MAAC,MAAC,0.321,0.321,7,9,3,8,3.81,9.48,18,82,1,8,4,3,20230507
Liberty,Jacksonville St,CUSA,CUSA,0.619,0.619,18,8,6,5,7.05,5.79,62,37,7,4,10,2,20230507
Marshall,James Madison,SBC,SBC,0.557,0.557,4,8,4,6,5.22,7.19,38,62,5,6,5,6,20230507
Kent,W Michigan,MAC,MAC,0.376,0.376,11,1,7,5,8.15,5.29,73,27,3,6,0,10,20230507
Lafayette,Army,PL,PL,0.348,0.348,1,7,4,8,4.31,8.60,24,76,1,9,2,7,20230507
Lindenwood,TN Martin,OVC,OVC,0.444,0.444,1,18,4,6,5.32,7.25,39,61,6,6,4,6,20230507
Minnesota,Michigan,B10,B10,0.604,0.604,1,4,4,6,4.87,6.73,38,62,4,5,6,4,20230507
Mississippi St,Arkansas,SEC,SEC,0.857,0.857,6,11,5,6,6.11,7.67,42,57,7,4,10,1,20230507
TAM C. Christi,Northwestern LA,SLC,SLC,0.648,0.648,8,17,5,4,5.70,5.73,53,47,6,6,4,7,20230507
St Thomas MN,Oral Roberts,SL,SL,0.338,0.338,1,8,2,8,2.61,9.38,9,91,5,3,6,4,20230507
Santa Clara,San Francisco,WCC,WCC,0.397,0.397,7,4,6,4,7.16,4.84,71,29,6,4,6,6,20230507
Delaware,Stony Brook,CAA,CAA,0.395,0.395,10,7,7,6,8.07,6.84,61,39,5,6,3,6,20230507
Wagner,Stonehill,NEC,NEC,0.13,0.13,10,1,8,4,8.64,4.52,80,20,3,7,0,7,20230507
UNC Greensboro,Wofford,SC,SC,0.644,0.644,6,3,5,7,5.86,7.94,39,61,5,5,11,1,20230507
Kentucky,South Carolina,SEC,SEC,0.857,0.857,9,2,5,4,5.48,5.26,55,45,9,1,9,3,20230507
Miami OH,Akron,MAC,MAC,0.376,0.376,2,10,7,5,8.03,5.44,71,29,5,6,4,7,20230507
Southern Univ,Prairie View,SWAC,SWAC,0.231,0.231,11,4,6,5,6.88,5.60,63,37,6,4,4,8,20230507
Long Beach St,Loy Marymount,BWC,WCC,0.556,0.397,3,9,5,3,5.75,3.89,70,30,5,6,7,5,20230508
Belmont,Lipscomb,MVC,ASUN,0.381,0.374,7,8,4,5,4.79,5.79,45,55,1,10,3,8,20230509
Oakland,Toledo,HL,MAC,0.21,0.376,4,3,6,7,6.36,7.85,43,57,2,10,4,6,20230509
Marshall,Ohio,SBC,MAC,0.557,0.376,2,7,6,5,6.58,6.33,55,45,5,6,3,7,20230509
N Kentucky,Butler,HL,BE,0.21,0.4,7,6,7,6,8.56,6.85,64,36,5,5,4,6,20230509
Niagara,Canisius,MAAC,MAAC,0.321,0.321,8,8,5,6,5.95,7.31,44,56,1,8,0,6,20230509
Dallas Bap,Cent Arkansas,CUSA,ASUN,0.619,0.374,12,5,7,3,8.30,3.65,85,15,8,3,4,6,20230509
Georgetown,MD E Shore,BE,NEC,0.4,0.13,13,3,8,2,8.66,2.56,93,7,3,8,1,11,20230509
South Carolina,North Florida,SEC,ASUN,0.857,0.374,5,8,7,3,8.69,3.81,85,15,9,3,7,5,20230509
Valparaiso,W Michigan,MVC,MAC,0.381,0.376,9,6,7,6,7.59,7.08,56,43,2,6,0,10,20230509
Indiana St,Ball St,MVC,MAC,0.381,0.376,11,1,6,4,6.94,4.33,73,27,5,6,6,5,20230509
W Carolina,Presbyterian,SC,BSo,0.644,0.515,7,6,7,6,8.03,6.60,63,37,5,7,6,6,20230509
San Francisco,San Jose St,WCC,MWC,0.397,0.449,3,12,6,5,6.22,6.21,53,47,6,6,8,3,20230509
Youngstown St,Bowling Green,HL,MAC,0.21,0.376,5,1,5,6,6.63,7.27,49,51,1,10,5,5,20230509
CS Northridge,Pepperdine,BWC,WCC,0.556,0.397,7,10,6,5,7.80,6.00,66,34,2,7,3,9,20230509
Campbell,UNC Wilmington,CAA,CAA,0.395,0.395,24,5,7,5,8.10,5.94,67,33,4,7,7,5,20230509
Cincinnati,Xavier,B12,BE,0.703,0.4,8,7,5,6,5.48,6.77,43,57,5,6,7,5,20230509
Wright St,Dayton,HL,A10,0.21,0.488,11,2,6,4,7.56,4.94,72,28,3,6,6,6,20230509
ETSU,UNC Asheville,SC,BSo,0.644,0.515,12,6,6,5,7.57,5.84,65,35,10,2,6,5,20230509
WKU,E Kentucky,CUSA,ASUN,0.619,0.374,1,16,6,5,6.45,5.57,60,40,10,1,0,11,20230509
Elon,High Point,CAA,BSo,0.395,0.515,7,13,6,4,7.69,4.91,73,27,5,6,9,3,20230509
North Carolina,Gardner Webb,ACC,BSo,0.772,0.515,5,4,7,3,8.46,3.53,87,13,12,0,6,7,20230509
Florida St,Jacksonville,ACC,ASUN,0.772,0.374,6,4,6,3,6.99,3.77,79,21,11,0,4,7,20230509
Longwood,VCU,BSo,A10,0.515,0.488,8,6,5,7,6.27,8.26,40,60,2,9,2,9,20230509
